KodLan,NamSek,Rank,Jenjang,SubJenjang,Status,PD,Kec,KotKab,Kota,Provinsi,Alamat
20613855,SMP MAESTRO,,SMP,SMPS,Swasta,120,Sepatan,Kab,TANGERANG,Banten,
20100822,SMP Maha Prajna,,SMP,SMPS,Swasta,0,Cilincing,Kota,JAKARTA UTARA,DKI Jakarta,
69966335,SMP MAHABODHI VIDYA,,SMP,SMPS,Swasta,190,Kali Deres,Kota,JAKARTA BARAT,DKI Jakarta,
69872393,SMP MAHAKARYA BANGSA,,SMP,SMPS,Swasta,20,Jagakarsa,Kota,JAKARTA SELATAN 2,DKI Jakarta,
20231677,SMP MAHANAIM,,SMP,SMPS,Swasta,412,Rawalumbu,Kota,BEKASI,Jawa Barat,
20603534,SMP MAHARDHIKA,,SMP,SMPS,Swasta,0,Kresek,Kab,TANGERANG,Banten,
20231089,SMP MAHARDIKA,,SMP,SMPS,Swasta,262,Cibinong,Kab,BOGOR 1,Jawa Barat,
20107109,SMP MAHASISWA,,SMP,SMPS,Swasta,0,Matraman,Kota,JAKARTA TIMUR 2,DKI Jakarta,
20100823,SMP MAHATMA GADING,,SMP,SMPS,Swasta,98,Kelapa Gading,Kota,JAKARTA UTARA,DKI Jakarta,
69889103,SMP MAHATMA GADING INTERCULTURAL SCHOOL,,SMP,SMPS,Swasta,107,Kelapa Gading,Kota,JAKARTA UTARA,DKI Jakarta,
20100324,SMP Mahatma Gandhi School,,SMP,SMPS,Swasta,139,Sawah Besar,Kota,JAKARTA PUSAT,DKI Jakarta,
70035088,SMP MAHIMA,,SMP,SMPS,Swasta,64,Bojong Gede,Kab,BOGOR 1,Jawa Barat,
70006198,SMP MAITREYAWIRA JAKARTA,,SMP,SMPS,Swasta,84,Kali Deres,Kota,JAKARTA BARAT,DKI Jakarta,
20108517,SMP MAKARIOS,,SMP,SMPS,Swasta,109,Kembangan,Kota,JAKARTA BARAT,DKI Jakarta,
20106977,SMP MAKARYA,,SMP,SMPS,Swasta,137,Kebayoran Lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
20606684,SMP MAKARYA,,SMP,SMPS,Swasta,152,Larangan,Kota,TANGERANG 1,Banten,
20108962,SMP MAKNA BAKTI,,SMP,SMPS,Swasta,112,Kemayoran,Kota,JAKARTA PUSAT,DKI Jakarta,
20253166,SMP MALIDAR,,SMP,SMPS,Swasta,0,Jatiasih,Kota,BEKASI,Jawa Barat,
69910157,SMP MANARUL HUDA,,SMP,SMPS,Swasta,136,Megamendung,Kab,BOGOR 2,Jawa Barat,
20106556,SMP Manbaul Hikmah,,SMP,SMPS,Swasta,40,Cilincing,Kota,JAKARTA UTARA,DKI Jakarta,
69919010,SMP MANBAUL ULUM,,SMP,SMPS,Swasta,45,Cijeruk,Kab,BOGOR 2,Jawa Barat,
20106835,SMP Manbaul Ulum,,SMP,SMPI,Swasta,0,Kebon Jeruk,Kota,JAKARTA BARAT,DKI Jakarta,
20607783,SMP MANBAUL ULUM,,SMP,SMPI,Swasta,186,Batuceper,Kota,TANGERANG 1,Banten,
20222905,SMP MANDALAHAYU,,SMP,SMPS,Swasta,245,Bekasi Timur,Kota,BEKASI,Jawa Barat,
20606683,SMP MANDIRI JATI UWUNG,,SMP,SMPS,Swasta,37,Periuk,Kota,TANGERANG 2,Banten,
20603550,SMP MANDIRI MALANG NENGAH,,SMP,SMPS,Swasta,0,Pagedangan,Kab,TANGERANG,Banten,
20663551,SMP MANDIRI SERDANG KULON,,SMP,SMPS,Swasta,234,Panongan,Kab,TANGERANG,Banten,
20606682,SMP MANGGALA,,SMP,SMPS,Swasta,97,Karang Tengah,Kota,TANGERANG 1,Banten,
20237953,SMP MANGUN JAYA 01,,SMP,SMPS,Swasta,131,Tambun Selatan,Kab,BEKASI,Jawa Barat,
20268761,SMP MANTIYAH,,SMP,SMPS,Swasta,133,Tambun Selatan,Kab,BEKASI,Jawa Barat,
20231090,SMP MARDI WALUYA,,SMP,SMPK,Swasta,632,Cibinong,Kab,BOGOR 1,Jawa Barat,
20220428,SMP MARDI WALUYA,,SMP,SMPK,Swasta,350,Bogor Selatan,Kota,BOGOR,Jawa Barat,
20220429,SMP MARDI YUANA,,SMP,SMPK,Swasta,0,Bogor Selatan,Kota,BOGOR,Jawa Barat,
20229068,SMP MARDI YUANA DEPOK,,SMP,SMPK,Swasta,0,Pancoran Mas,Kota,DEPOK 1,Jawa Barat,
20605079,SMP MARDI YUANA SERANG,,SMP,SMPK,Swasta,267,Serang,Kota,SERANG,Banten,
20229069,SMP MARIA,,SMP,SMPK,Swasta,0,Tapos,Kota,DEPOK 2,Jawa Barat,
20606681,SMP MARIA IMMACULATA,,SMP,SMPK,Swasta,243,Cipondoh,Kota,TANGERANG 1,Banten,
20603552,SMP MARIA MEDIATRIX,,SMP,SMPK,Swasta,0,Pasar Kemis,Kab,TANGERANG,Banten,
20109255,SMP Marie Joseph,,SMP,SMPS,Swasta,216,Kelapa Gading,Kota,JAKARTA UTARA,DKI Jakarta,
20606692,SMP MARKUS,,SMP,SMPS,Swasta,106,Pinang,Kota,TANGERANG 1,Banten,
20232142,SMP MARSUDIRINI,,SMP,SMPS,Swasta,142,Kemang,Kab,BOGOR 2,Jawa Barat,
20107110,SMP Marsudirini,,SMP,SMPS,Swasta,283,Kramat Jati,Kota,JAKARTA TIMUR 1,DKI Jakarta,
20231679,SMP MARSUDIRINI,,SMP,SMPS,Swasta,789,Rawalumbu,Kota,BEKASI,Jawa Barat,
20222904,SMP MARTIA BHAKTI,,SMP,SMPS,Swasta,506,Bekasi Selatan,Kota,BEKASI,Jawa Barat,
20603570,SMP MATER DEI,,SMP,SMPS,Swasta,0,Pamulang,Kota,TANGERANG SELATAN,Banten,
20603572,SMP MATHLA UL ANWAR,,SMP,SMPS,Swasta,178,Sukadiri,Kab,TANGERANG,Banten,
20603571,SMP MATHLAUL HUDA,,SMP,SMPS,Swasta,102,Gunung Kaler,Kab,TANGERANG,Banten,
20613688,SMP MATLAUL ANWAR TIGARAKSA,,SMP,SMPS,Swasta,0,Tiga Raksa,Kab,TANGERANG,Banten,
69881057,SMP MATUSHA DWI ELANG,,SMP,SMPS,Swasta,107,Cibungbulang,Kab,BOGOR 2,Jawa Barat,
20229070,SMP MAWADDAH,,SMP,SMPS,Swasta,236,Cipayung,Kota,DEPOK 1,Jawa Barat,
20606693,SMP MAZROATUL ULUM,,SMP,SMPI,Swasta,249,Ciledug,Kota,TANGERANG 1,Banten,
20244762,SMP MEKAR MURNI,,SMP,SMPS,Swasta,218,Sukakarya,Kab,BEKASI,Jawa Barat,
20107112,SMP MEKAR SARI,,SMP,SMPS,Swasta,73,Pulo Gadung,Kota,JAKARTA TIMUR 2,DKI Jakarta,
20106560,SMP Mekar Tanjung,,SMP,SMPS,Swasta,301,Tanjung Priok,Kota,JAKARTA UTARA,DKI Jakarta,
20237954,SMP MEKARSARI 01,,SMP,SMPS,Swasta,0,Tambun Selatan,Kab,BEKASI,Jawa Barat,
20106837,SMP MELANIA I,,SMP,SMPS,Swasta,0,Taman Sari,Kota,JAKARTA BARAT,DKI Jakarta,
20100323,SMP MELANIA II,,SMP,SMPS,Swasta,61,Cempaka Putih,Kota,JAKARTA PUSAT,DKI Jakarta,
